Code no,Code Name,,
2544,Crops,,
2590,Crops,,
2591,Crops,,
2592,Crops,,
2593,Crops,,
2594,Crops,,
2595,Crops,,
2596,Crops,,
2597,Crops,,
2598,Crops,,
2600,Crops,,
2659,Crops,BS,"Alcohol, Non-Food"
2661,Crops,,
2662,Crops,,
2663,Crops,,
2664,Crops,,
2665,Crops,,
2666,Crops,,
2667,Crops,,
2671,Crops,,
2672,Crops,,
2905,Crops,BS,Cereals - Excluding Beer
2907,Crops,BS,Starchy Roots
2908,Crops,BS,Sugar Crops
2909,Crops,BS,Sugar & Sweeteners
2911,Crops,BS,Pulses
2912,Crops,BS,Treenuts
2913,Crops,BS,Oilcrops
2914,Crops,BS,Vegetable Oils
2918,Crops,BS,Vegetables
2919,Crops,BS,Fruits - Excluding Wine
2922,Crops,BS,Stimulants
2923,Crops,BS,Spices
2924,Crops,BS,Alcoholic Beverages
2928,Crops,BS,Miscellaneous
2781,Fish,BS,"Fish, Body Oil"
2782,Fish,BS,"Fish, Liver Oil"
2855,Fish,,
2960,Fish,BS,"Fish, Seafood"
2961,Fish,BS,"Aquatic Products, Other"
2737,Meat,BS,"Fats, Animals, Raw"
2740,Meat,BS,"Butter, Ghee"
2741,Meat,,
2742,Meat,,
2743,Meat,BS,Cream
2745,Meat,BS,Honey
2746,Meat,,
2747,Meat,,
2748,Meat,,
2749,Meat,,
2943,Meat,BS,Meat
2945,Meat,BS,Offals
2948,Meat,BS,Milk - Excluding Butter
2949,Meat,BS,Eggs
